"","pvalue","sp","type"
"(Intercept)",3.83591034440113e-72,"MW","below"
"path_treat17",0.064505810523124,"MW","below"
"path_treat18",0.442753927379763,"MW","below"
"path_treat19",0.423474644597256,"MW","below"
"path_treat23",0.685175690070145,"MW","below"
"path_treat29",0.374809485438088,"MW","below"
"path_treat35",0.202875284967929,"MW","below"
"path_treat45",0.441814960275154,"MW","below"
"path_treat57",0.981403512133589,"MW","below"
"path_treat58",0.0673956512613682,"MW","below"
"path_treat59",0.646792216862559,"MW","below"
"path_treat61",0.535625947756258,"MW","below"
"path_treat62",0.747849014843879,"MW","below"
"path_treat63",0.389303790300629,"MW","below"
"path_treat64",0.879437580719018,"MW","below"
"path_treat73",0.259515713446226,"MW","below"
"path_treat74",0.499521573669105,"MW","below"
"path_treat76",0.356604883962513,"MW","below"
"path_treat83",0.554743932826825,"MW","below"
"path_treat85",0.400558103921641,"MW","below"
"path_treat87",0.0880610827973562,"MW","below"
"path_treat92",0.995189235738534,"MW","below"
"height_i",0.196295453973238,"MW","below"
"(Intercept)1",9.0569238263003e-134,"DB","below"
"path_treat171",0.287808560157329,"DB","below"
"path_treat181",0.374566953082577,"DB","below"
"path_treat191",0.256679451943239,"DB","below"
"path_treat231",0.304460409606328,"DB","below"
"path_treat291",0.500869134310689,"DB","below"
"path_treat30",0.548553446798857,"DB","below"
"path_treat33",0.139080552428013,"DB","below"
"path_treat351",0.728430301961815,"DB","below"
"path_treat38",0.0285348500603582,"DB","below"
"path_treat40",0.166664113813121,"DB","below"
"path_treat41",0.818618633755536,"DB","below"
"path_treat42",0.5244798480922,"DB","below"
"path_treat43",0.746965987742205,"DB","below"
"path_treat44",0.30304192506711,"DB","below"
"path_treat451",0.392914702198009,"DB","below"
"path_treat46",0.227091218123033,"DB","below"
"path_treat571",0.000400559181182231,"DB","below"
"path_treat581",0.407318590405217,"DB","below"
"path_treat591",0.000250994602253576,"DB","below"
"path_treat641",0.504245345019211,"DB","below"
"path_treat731",0.00697217376634091,"DB","below"
"path_treat741",3.06694737047509e-05,"DB","below"
"path_treat761",0.737335326716626,"DB","below"
"path_treat831",0.0566278542024745,"DB","below"
"path_treat851",0.841427533713423,"DB","below"
"path_treat871",0.958647006321879,"DB","below"
"path_treat921",0.345015604635074,"DB","below"
"height_i1",9.18247257875472e-06,"DB","below"
"(Intercept)2",2.16735305263131e-81,"SL","below"
"path_treat172",0.392504031299604,"SL","below"
"path_treat182",0.524801928175435,"SL","below"
"path_treat192",0.35209092361402,"SL","below"
"path_treat232",0.418499411159178,"SL","below"
"path_treat292",0.941181417480525,"SL","below"
"path_treat352",0.697421012194088,"SL","below"
"path_treat452",0.805181457963859,"SL","below"
"path_treat572",0.874910195997497,"SL","below"
"path_treat582",0.262076134341399,"SL","below"
"path_treat592",0.988055145235004,"SL","below"
"path_treat642",0.787490836394507,"SL","below"
"path_treat68",0.82682808341078,"SL","below"
"path_treat70",0.635339853438876,"SL","below"
"path_treat742",0.601222939146438,"SL","below"
"path_treat762",0.799630838204305,"SL","below"
"path_treat832",0.445881453820709,"SL","below"
"path_treat852",0.00132059369014954,"SL","below"
"path_treat872",0.0168484655983421,"SL","below"
"path_treat922",0.964878686620784,"SL","below"
"height_i2",0.428036320496426,"SL","below"
"(Intercept)3",2.8226084087146e-168,"BS","below"
"path_treat1",0.451443477146673,"BS","below"
"path_treat10",0.770623776505051,"BS","below"
"path_treat12",0.37412410148549,"BS","below"
"path_treat14",0.427673554391324,"BS","below"
"path_treat16",0.982744876439929,"BS","below"
"path_treat173",0.973967608832088,"BS","below"
"path_treat183",0.0161377578418115,"BS","below"
"path_treat193",0.799321288777318,"BS","below"
"path_treat2",0.51827068093897,"BS","below"
"path_treat20",0.972356892542133,"BS","below"
"path_treat21",0.475736381103779,"BS","below"
"path_treat22",0.299440220257826,"BS","below"
"path_treat233",0.0663739405254308,"BS","below"
"path_treat25",0.782354092285391,"BS","below"
"path_treat26",0.681215556756243,"BS","below"
"path_treat293",0.782354092285391,"BS","below"
"path_treat353",0.484235975192873,"BS","below"
"path_treat453",0.41375570146101,"BS","below"
"path_treat573",0.927675695714071,"BS","below"
"path_treat583",0.0534964004421903,"BS","below"
"path_treat593",0.613775480554604,"BS","below"
"path_treat643",0.546435097522289,"BS","below"
"path_treat7",0.45810441903751,"BS","below"
"path_treat732",0.911279774781349,"BS","below"
"path_treat743",0.428089602614564,"BS","below"
"path_treat763",0.817396305433852,"BS","below"
"path_treat8",0.156349520212675,"BS","below"
"path_treat833",0.204147987881441,"BS","below"
"path_treat853",0.276121747060354,"BS","below"
"path_treat873",0.205219732716917,"BS","below"
"path_treat9",0.852519477905749,"BS","below"
"path_treat923",0.973701780422664,"BS","below"
"height_i3",0.0115745886469364,"BS","below"
"(Intercept)4",4.66415642336303e-110,"IW","below"
"path_treat174",0.204811719576493,"IW","below"
"path_treat184",0.64327169031217,"IW","below"
"path_treat194",0.5870775355263,"IW","below"
"path_treat234",0.807583975812881,"IW","below"
"path_treat294",0.664510853808288,"IW","below"
"path_treat354",0.821411764804159,"IW","below"
"path_treat454",5.84627724701842e-12,"IW","below"
"path_treat47",0.89977623680498,"IW","below"
"path_treat48",0.537582566832514,"IW","below"
"path_treat49",0.830513185617758,"IW","below"
"path_treat51",0.936186749616514,"IW","below"
"path_treat53",0.7233573538741,"IW","below"
"path_treat55",0.792575476540114,"IW","below"
"path_treat56",0.849567728491073,"IW","below"
"path_treat574",0.676174726853244,"IW","below"
"path_treat584",0.900074094198154,"IW","below"
"path_treat594",0.794916682262069,"IW","below"
"path_treat644",0.839329788159817,"IW","below"
"path_treat733",0.814537077829048,"IW","below"
"path_treat744",0.996729995421204,"IW","below"
"path_treat764",0.466507702644041,"IW","below"
"path_treat834",0.123158909699776,"IW","below"
"path_treat854",0.402338872084437,"IW","below"
"path_treat874",0.860413486798559,"IW","below"
"path_treat924",0.293936689747494,"IW","below"
"height_i4",0.0322228897118878,"IW","below"
